LOCAL_DNS,,PUBLIC DNS,,MY_RESOLVER,
193.4,0.04,203.8,0.04,54.61,0.04
194.4,0.08,214.5,0.08,55.73,0.08
194.6,0.12,214.7,0.12,58.24,0.12
195.1,0.16,219.4,0.16,66.15,0.16
195.3,0.2,219.5,0.2,68.58,0.2
196.2,0.24,222.3,0.24,97.45,0.24
196.3,0.28,222.9,0.28,125.95,0.28
197.2,0.32,224.6,0.32,131.11,0.32
197.3,0.36,227.5,0.36,159.13,0.36
198.2,0.4,241.3,0.4,168.64,0.4
198.7,0.44,241.7,0.44,172.1,0.44
199.1,0.48,244,0.48,186.28,0.48
199.4,0.52,252.3,0.52,190.42,0.52
200.7,0.56,261.1,0.56,299.13,0.56
200.8,0.6,266.5,0.6,366.46,0.6
201.7,0.64,270.3,0.64,464.44,0.64
202.4,0.68,278.9,0.68,487.87,0.68
202.7,0.72,281.8,0.72,536.59,0.72
206.9,0.76,304.1,0.76,563.09,0.76
207.3,0.8,305.6,0.8,729.16,0.8
211.4,0.84,314,0.84,820.47,0.84
227.6,0.88,320.4,0.88,960.06,0.88
227.6,0.92,324.4,0.92,980.1,0.92
301.2,0.96,352.9,0.96,981.2,0.96
698.3,1,446.4,1,990.7,1
